"Ubicazione","Quartiere","Zona","Sottoarea","lat","lon","AttivitÃ_prevalente","Row_Number"
"VIA AUGUSTO MURRI, 191/A","Santo Stefano","Murri","Esercizi di vicinato",44.47352847,11.36860054,"Abbigliamento",1
"VIA GIACOMO MATTEOTTI, 22/B","Navile","Bolognina","Esercizi di vicinato",44.50862883,11.34644162,"Abbigliamento",2
"VIA MASCARELLA, 102","Santo Stefano","Irnerio","Phone center/Internet point",44.50123431,11.35164983,"Schede telefoniche telefoni cellulari",3
"VIA ANDREA COSTA, 39/D","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49511404,11.32570918,"Gelati  torte  semifreddi",4
"VIA ALCESTE GIOVANNINI, 5/1","Navile","Bolognina","Esercizi di vicinato",44.51785565,11.3393345,"Pane - pasticceria - dolciumi",5
"VIA S.VITALE, 112","Santo Stefano","Irnerio","Esercizi di vicinato",44.49415376,11.35562032,"Abbigliamento e accessori",6
"VIA VINCENZO VELA, 2","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.48564881,11.3715054,"Porte finestre",7
"VIA S.VITALE, 87/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49398087,11.35634017,"Schede telefoniche telefoni cellulari",8
"VIA ARNO, 36","Savena","Mazzini","Esercizi di vicinato",44.47266049,11.38760434,"Pesce molluschi crostacei",9
"VIA S.STEFANO, 32/2B","Santo Stefano","Galvani","Esercizi di vicinato",44.49086317,11.34957461,"Abbigliamento",10
"VIA DELLA LIBERAZIONE, 15","Navile","Bolognina","Punti di vendita non esclusivi di quotidiani e/o periodici",44.51143785,11.35128438,"",11
"VIA GALLIERA, 32/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50005738,11.34282065,"Bevande vini - olii - birra ed altre",12
"VIA GIUSEPPE PETRONI, 1/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49435564,11.35214766,"Abbigliamento",13
"VIA S.FELICE, 37","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49679054,11.33444362,"Abbigliamento",14
"VIA DEL BORGO DI S.PIETRO, 40/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49945414,11.34855282,"Biciclette e accessori",15
"VIA ARNO, 25/L","Savena","Mazzini","Esercizi di vicinato",44.47398671,11.38793662,"Sigaretta elettronica",16
"VIA AMILCARE PONCHIELLI, 23","Savena","S. Ruffillo","Esercizi di vicinato",44.46474106,11.37483158,"Ottica",17
"VIA PIER DE' CRESCENZI, 2/E","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50229876,11.33206907,"Pasta fresca e prodotti da forno",18
"VIA ERMETE NOVELLI, 1/G","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50574215,11.36276536,"Abbigliamento e accessori",19
"VIA FERRARESE, 4/B","Navile","Bolognina","Esercizi di vicinato",44.51007993,11.34737286,"Prodotti ortofrutticoli",20
"VIA AUGUSTO MURRI, 61/C","Santo Stefano","Murri","Esercizi di vicinato",44.48169344,11.36039726,"Oggetti preziosi",21
"VIA S.FELICE, 105","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49823575,11.33032252,"Infissi",22
"VIA AGAMENNONE ZAPPOLI, 2/C","Santo Stefano","Irnerio","Esercizi di vicinato",44.49926479,11.34585726,"Gadget",23
"VIA PERSICETANA VECCHIA, 3/A","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.53144029,11.26803468,"Autoveicoli usati",24
"VIA MASCARELLA, 29/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.4990411,11.34995498,"Prodotti ortofrutticoli",25
"VIA ARNO, 27/C","Savena","Mazzini","Esercizi di vicinato",44.47399881,11.38795039,"Pane - pasticceria - dolciumi",26
"VIA SARAGOZZA, 155/A","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.48975367,11.32111247,"Prodotti ortofrutticoli",27
"P.ZZA GIOVANNI XXIII, 14/A","Borgo Panigale - Reno","Barca","Esercizi di vicinato",44.49497959,11.28470926,"Alimentari confezionati",28
"VIA PORTANOVA, 7/A","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49436335,11.33723124,"",29
"VIA DELL'INDIPENDENZA, 45","Santo Stefano","Irnerio","Esercizi di vicinato",44.49938548,11.34426127,"Pasta fresca e prodotti da forno",30
"VIA S.FELICE, 20/C","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49632655,11.33510069,"Abbigliamento",31
"VIA S.VITALE, 34/D","Santo Stefano","Irnerio","Esercizi di vicinato",44.49449278,11.3495991,"Calzature e articoli in cuoio",32
"VIA NAZARIO SAURO, 20/2","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49736484,11.33937956,"Libri",33
"VIA CAMILLO RANZANI, 7/2","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.5014355,11.3576988,"",34
"VIA ARISTOTILE FIORAVANTI, 95/A","Navile","Bolognina","Esercizi di vicinato",44.51549932,11.34243406,"Articoli da regalo",35
"VIA VITTORIO VENETO, 17/A","Porto - Saragozza","Saffi","Esercizi di vicinato",44.49918635,11.32017469,"Prodotti ortofrutticoli",36
"VIA ALESSANDRINI, 2/A","Santo Stefano","Irnerio","Phone center/Internet point",44.49880804,11.34630697,"",37
"VIA PELLEGRINO TIBALDI, 4/C","Navile","Bolognina","Esercizi di vicinato",44.51096027,11.34636666,"Essenze ed olii profumati",38
"VIA MASCARELLA, 60/D","Santo Stefano","Irnerio","Esercizi di vicinato",44.5000402,11.35055703,"CANAPA",39
"VIALE GIOVANNI VICINI, 2/B","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49494024,11.32795785,"Telefoni cellulari ed accessori",40
"VIA CARLO SIGONIO, 12","Santo Stefano","Murri","Esercizi di vicinato",44.48284291,11.37184932,"Gastronomia Salumeria",41
"VIA FARINI, 35/C","Santo Stefano","Galvani","Esercizi di vicinato",44.49129786,11.3481289,"Articoli per arredamento e ornamento della casa",42
"VIA FOSSALTA, 4/C","Santo Stefano","Irnerio","Phone center/Internet point",44.49508732,11.34367682,"",43
"VIA CASTIGLIONE, 13/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49098911,11.3464257,"Articoli da regalo",44
"VIA BELLARIA, 26/A","Savena","Mazzini","Esercizi di vicinato",44.47729314,11.38574444,"prodotti ortofrutticoli",45
"VIA ANTONIO ZANOLINI, 13/2","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49479752,11.35834296,"Articoli per illuminazione",46
"GALLERIA CAVOUR, 8/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49234369,11.34427638,"Abbigliamento",47
"VIA AUGUSTO MURRI, 56","Santo Stefano","Murri","Esercizi di vicinato",44.4816533,11.36099256,"Mobili",48
"VIA GIUSEPPE DAGNINI, 19/A","Santo Stefano","Murri","Esercizi di vicinato",44.47844037,11.36909428,"Pane - pasticceria - dolciumi",49
"VIA DELLE LAME, 39 /B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49816051,11.33608184,"Vernici e colori",50
"VIA LAURA BASSI VERATTI, 25/A","Santo Stefano","Murri","Esercizi di vicinato",44.48264291,11.36694973,"Elettronica",51
"VIA STALINGRADO, 105/D","Navile","Corticella","Esercizi di vicinato",44.52973239,11.36725056,"Articoli per arredamento e ornamento della casa",52
"VIA FRANCESCO ZANARDI, 194/A","Navile","Lame","Esercizi di vicinato",44.52331331,11.31886959,"",53
"VIA UGO BASSI, 21/H","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49565796,11.33851045,"Schede telefoniche telefoni cellulari",54
"VIA LIONELLO SPADA, 63/B","Navile","Bolognina","Esercizi di vicinato",44.5153472,11.34314764,"Settore non alimentare",55
"VIA FRANCESCO ZANARDI, 10/A","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50394834,11.33216034,"Mobili",56
"VIA D'AZEGLIO, 78","Santo Stefano","Galvani","Esercizi di vicinato",44.48773243,11.33977982,"Gastronomia Salumeria",57
"VIA GIUSEPPE PETRONI, 19/C","Santo Stefano","Irnerio","Esercizi di vicinato",44.49538924,11.3513463,"Libri",58
"VIA S.VITALE, 88","Santo Stefano","Irnerio","Esercizi di vicinato",44.49414889,11.35420195,"Alimenti dietetici e biologici",59
"VIA DEI GIARDINI, 3/3","Navile","Corticella","Esercizi di vicinato",44.53744467,11.35506552,"Articoli per l'igiene della persona",60
"VIA BELLOMBRA, 24","Santo Stefano","Colli","Esercizi di vicinato",44.48109753,11.3391501,"Integratori alimentari",61
"VIA FERRARESE, 22/E","Navile","Bolognina","Esercizi di vicinato",44.51172968,11.35066607,"Video DVD",62
"VIA CARLO CIGNANI, 90/A","Navile","Bolognina","Esercizi di vicinato",44.51411767,11.35212764,"Integratori alimentari",63
"VIA GARIBALDI, 9/F","Santo Stefano","Galvani","Esercizi di vicinato",44.48901309,11.34303133,"Bevande vini - olii - birra ed altre",64
"VIA GIUSEPPE DAGNINI, 17/D","Santo Stefano","Murri","Esercizi di vicinato",44.47830712,11.36899119,"Abbigliamento e accessori",65
"VIA DE' CASTAGNOLI, 4","Santo Stefano","Irnerio","Esercizi di vicinato",44.49700476,11.34907794,"",66
"VIA ALESSANDRO STOPPATO, 37/B","Navile","Corticella","Esercizi di vicinato",44.54301745,11.35768107,"Telefoni cellulari ed accessori",67
"VIA MARCO EMILIO LEPIDO, 186","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52054956,11.26522708,"Materiale hardware e software",68
"VIA AGOSTINO BARELLI, 4/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.4952105,11.40047147,"Articoli di cartoleria libri telefonia informatica fotografia",69
"VIA MILAZZO, 12/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50331339,11.34088552,"Bibite pastigliaggi e snack",70
"VIA GUGLIELMO MARCONI, 41/L","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49859459,11.33850793,"",71
"VIA EMILIA PONENTE, 157/2G","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50771261,11.30291813,"Profumeria",72
"VIA IRNERIO, 20/H","Santo Stefano","Irnerio","Esercizi di vicinato",44.49984882,11.3503033,"Articoli medicali e ortopedici",73
"VIA UGO BASSI, 23","Porto - Saragozza","Marconi","Esercizi di vicinato",44.4958048,11.33815433,"Prodotti ortofrutticoli",74
"VIA MARCO EMILIO LEPIDO, 186","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52054956,11.26522708,"Gadget",75
"VIA S.MAMOLO, 1/A","Santo Stefano","Colli","Esercizi di vicinato",44.48623543,11.33943759,"Sigaretta elettronica",76
"PIAZZA GALILEO, 1/B","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49370099,11.34102282,"Cialde di caffe' the e tisane",77
"VIA MONTE GRAPPA, 28","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49568512,11.33929336,"Abbigliamento e accessori",78
"VIA DELLO SCALO, 12/B","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50169868,11.32735087,"Prodotti ortofrutticoli",79
"VIA SERAFINO CALINDRI, 10/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50126379,11.37103728,"Settore non alimentare",80
"VIA RIALTO, 6/A","Santo Stefano","Galvani","Esercizi di vicinato",44.48919764,11.34961382,"Bevande vini - olii - birra ed altre",81
"VIA FARINI, 37","Santo Stefano","Galvani","Esercizi di vicinato",44.49129514,11.34838216,"Abbigliamento",82
"PIAZZA ALDROVANDI, 13/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49342491,11.35195023,"Piante e fiori",83
"PIAZZA DELLE MEDAGLIE D'ORO, 2","Porto - Saragozza","Marconi","Esercizi di vicinato",44.5058138,11.3433015,"",84
"VIA ARISTOTILE FIORAVANTI, 113","Navile","Bolognina","Esercizi di vicinato",44.51712407,11.34216628,"Integratori alimentari",85
"VIA DELL'INDIPENDENZA, 62/B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50139554,11.34429934,"Abbigliamento",86
"VIA GUGLIELMO MARCONI, 16/H","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49721947,11.33745838,"Profumeria",87
"VIA FARINI, 13","Santo Stefano","Galvani","Esercizi di vicinato",44.49140639,11.34564546,"Abbigliamento e accessori",88
"VIA DELL'INDIPENDENZA, 8","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49609193,11.34275493,"Articoli per l'igiene della persona",89
"VIA S.LORENZO, 22","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49786777,11.33734217,"Tappeti antichi",90
"GALLERIA CAVOUR, 2","Santo Stefano","Galvani","Esercizi di vicinato",44.49224397,11.34387332,"Abbigliamento e accessori",91
"VIA MASCARELLA, 19/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49882128,11.34972238,"Alimentari confezionati",92
"VIA GALLIERA, 91/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50272587,11.34424893,"Bevande vini - olii - birra ed altre",93
"VIA SARAGOZZA, 101/3D","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49040293,11.32565095,"Prodotti ortofrutticoli",94
"VIA MASCARELLA, 41/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49941482,11.35035101,"Elettrodomestici",95
"VIA VERMENA, 45/B","Savena","Mazzini","Esercizi di vicinato",44.47913262,11.37926934,"Abbigliamento e accessori",96
"VIALE QUIRICO FILOPANTI, 4","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49679525,11.35698619,"mobili",97
"VIA SARAGOZZA, 65/G","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49034223,11.33151785,"Prodotti ortofrutticoli",98
"VIA DELL'INDUSTRIA, 33/C","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.50466819,11.40413901,"Parquet",99
"VIA S.ISAIA, 110","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49444625,11.32920343,"Abbigliamento e accessori",100
"VIA FRANCO BOLOGNESE, 41/D","Navile","Bolognina","Esercizi di vicinato",44.5127754,11.34178485,"Bevande vini - olii - birra ed altre",101
"VIA RIVA DI RENO, 98/D","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49907727,11.33918105,"Abbigliamento e accessori",102
